old,new,status,note
notes\MK\AI-idea\Gemini CLI.md,notes\MK\50_code\Gemini CLI.md,moved,
notes\MK\ASMR\tiktok asmrキャプション集.md,notes\MK\50_code\tiktok asmrキャプション集.md,moved,
notes\MK\chatgpt\ideas\ChatGPT 出力 Obsidian 保存.md,notes\MK\50_code\ChatGPT 出力 Obsidian 保存.md,moved,
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts.md,notes\MK\50_code\crystal_fruit_prompts.md,moved,
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts_v5.md,notes\MK\50_code\crystal_fruit_prompts_v5.md,moved,
notes\MK\chatgpt\pronmpts_output\Crystal_Video_Prompts_Veo.md,notes\MK\50_code\Crystal_Video_Prompts_Veo.md,moved,
notes\MK\chatgpt\pronmpts_output\CrystalFruit_ASMR_Prompts_Veo (1).md,notes\MK\50_code\CrystalFruit_ASMR_Prompts_Veo (1).md,moved,
notes\MK\chatgpt\Sora_prompt_output\sora_crystal_fruits_prompts.md,notes\MK\50_code\sora_crystal_fruits_prompts.md,moved,
notes\MK\Clippings\Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,notes\MK\50_code\Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,moved,
notes\MK\Clippings\Codex CLIを使いこなすための機能・設定まとめ.md,notes\MK\50_code\Codex CLIを使いこなすための機能・設定まとめ.md,moved,
notes\MK\Clippings\o3 MCPでClaude Codeが最強の検索力を手に入れた.md,notes\MK\50_code\o3 MCPでClaude Codeが最強の検索力を手に入れた.md,moved,
notes\MK\Clippings\【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん.md,notes\MK\50_code\【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん.md,moved,
notes\MK\Clippings\先輩社員がどうやって不具合を解決しているのか 1.md,notes\MK\50_code\先輩社員がどうやって不具合を解決しているのか 1.md,moved,
notes\MK\Clippings\新Codex CLIの使い方.md,notes\MK\50_code\新Codex CLIの使い方.md,moved,
notes\MK\Clippings\非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ  AI駆動PM.md,notes\MK\50_code\非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ  AI駆動PM.md,moved,
notes\MK\copilot-custom-prompts\Generate glossary.md,notes\MK\50_code\Generate glossary.md,moved,
notes\MK\copilot-custom-prompts\Remove URLs.md,notes\MK\50_code\Remove URLs.md,moved,
notes\MK\Dashboard.md,notes\MK\50_code\Dashboard.md,moved,
notes\MK\gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,notes\MK\50_code\gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,moved,
notes\MK\iPhoneClip\ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,notes\MK\50_code\ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,moved,
