file,has_yaml,missing,title_current,title_h1,title_proposed,tags_count,tags_over_limit,status_current,status_proposed,created_current,created_proposed,updated_current,updated_proposed,aliases_count,source_count,issues
notes\MK\10_research\2025-06-29.md,yes,title status created updated,,,2025-06-29,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\2025-06-30.md,yes,title status created updated,,,2025-06-30,4,no,,draft,,2025-06-30,,2025-09-06,0,0,
notes\MK\10_research\2025-07-01.md,yes,title status created updated,,,2025-07-01,5,no,,draft,,2025-07-01,,2025-09-06,0,0,
notes\MK\10_research\2025-07-02.md,yes,title status created updated,,,2025-07-02,1,no,,draft,,2025-07-02,,2025-09-06,0,0,
notes\MK\10_research\2025-08-29.md,yes,title status created updated,,,2025-08-29,2,no,,draft,,2025-08-29,,2025-09-06,0,0,
notes\MK\10_research\2025-13-01.md,yes,title status created updated,,,2025-13-01,2,no,,draft,,2025-09-01,,2025-09-06,0,0,
notes\MK\10_research\2025年版 生成AI・大規模言語モデルを学ぶための30冊（必須5冊+定番15冊+差をつける10冊）.md,yes,status updated,2025年版 生成AI・大規模言語モデルを学ぶための30冊（必須5冊+定番15冊+差をつける10冊）,ユーザ系,,5,no,,draft,2025-09-01,,,2025-09-06,0,0,
notes\MK\10_research\ChatGPTに悩みを相談し続けて4カ月、「あ、ヤバいかも」と思った話.md,yes,status updated,ChatGPTに悩みを相談し続けて4カ月、「あ、ヤバいかも」と思った話,言語化することの弊害,,5,no,,draft,2025-06-29,,,2025-09-06,0,0,
notes\MK\10_research\config_6-29135137.json.md,yes,title status created updated,,,config_6-29135137.json,4,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\deepresearch向け検索クエリ例.md,yes,title status created updated,,,deepresearch向け検索クエリ例,5,no,,draft,,2025-09-06,,2025-09-06,0,0,
notes\MK\10_research\Emojify.md,yes,title status created updated,,,Emojify,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\Explain like I am 5.md,yes,title status created updated,,,Explain like I am 5,5,no,,draft,,2025-06-29,,2025-09-06,0,0,
notes\MK\10_research\FF14総合分析と戦略考察.md,yes,status updated,FF14総合分析と戦略考察,,,5,no,,draft,2025-07-01,,,2025-09-06,0,0,
notes\MK\10_research\Findings from a Pilot Anthropic - OpenAI Alignment Evaluation Exercise.md,yes,status updated,Findings from a Pilot Anthropic - OpenAI Alignment Evaluation Exercise,パイロットアントロピック - OpenAIアライメント評価演習からの知見,,5,no,,draft,2025-08-29,,,2025-09-06,0,0,
