file,title_or_stem,suggested_name,same_as_current,reason
notes\MK\2025-07-02.md,2025-07-02,2025-07-02.md,yes,use-file-stem
notes\MK\2025-08-29.md,2025-08-29,2025-08-29.md,yes,use-file-stem
notes\MK\AI-idea\DeNAの「AIにオールイン」.md,DeNAにおけるAI活用最前線,DeNAにおけるAI活用最前線.md,no,use-h1-title
notes\MK\AI-idea\Gemini CLI.md,Gemini CLIとは何か、その背景と競合,Gemini-CLIとは何か、その背景と競合.md,no,use-h1-title
notes\MK\ASMR\ASMR改良版プロンプト.md,🍇 ASMR動画プロンプト（果物10種 × 改良版構成）,🍇-ASMR動画プロンプト（果物10種-×-改良版構成）.md,no,use-h1-title
notes\MK\ASMR\ASMR改良版プロンプト用ハッシュタグ.md,🎬 TikTok投稿テンプレート（タイトル＋ハッシュタグ）,🎬-TikTok投稿テンプレート（タイトル＋ハッシュタグ）.md,no,use-h1-title
notes\MK\ASMR\SNSショート動画バズり徹底分析.md,SNSショート動画バズり徹底分析,SNSショート動画バズり徹底分析.md,yes,use-file-stem
notes\MK\ASMR\tiktok asmrキャプション集.md,🎬 TikTok ASMR動画スクリプト + キャプション集（ガラス果物）,🎬-TikTok-ASMR動画スクリプト-+-キャプション集（ガラス果物）.md,no,use-h1-title
notes\MK\ASMR\TikTok ASMR動画企画.md,引用文献,引用文献.md,no,use-h1-title
notes\MK\ASMR\日本国内SNSトレンド分析レポート.md,日本国内SNSトレンド分析レポート：TikTok・X・Instagramの最新動向と動画制作への応用戦略,日本国内SNSトレンド分析レポート：TikTok・X・Instagramの最新動向と動画制作への応用戦略.md,no,use-h1-title
notes\MK\chatgpt\deepresearch\deepresearch向け検索クエリ例.md,deepresearch向け検索クエリ例,deepresearch向け検索クエリ例.md,yes,use-file-stem
notes\MK\chatgpt\deepresearch\出力レイアウト仕様（Markdown）.md,TL;DR,TL;DR.md,no,use-h1-title
notes\MK\chatgpt\deepresearch\採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）.md,採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）,採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）.md,yes,use-file-stem
notes\MK\chatgpt\deepresearch\最短版プロンプト（埋め済み・コピペ用）.md,最短版プロンプト（埋め済み・コピペ用）,最短版プロンプト（埋め済み・コピペ用）.md,yes,use-file-stem
notes\MK\chatgpt\deepresearch\詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）.md,詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）,詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）.md,yes,use-file-stem
notes\MK\chatgpt\ideas\ChatGPT 出力 Obsidian 保存.md,✅ 目的,✅-目的.md,no,use-h1-title
notes\MK\chatgpt\ideas\ダイエット計画プロンプト_v2.md,ダイエット計画プロンプト v2（プロンプトエンジニアリング最適化版）,ダイエット計画プロンプト-v2（プロンプトエンジニアリング最適化版）.md,no,use-h1-title
notes\MK\chatgpt\pronmpts\tiktok動画生成プロンプト1️⃣.md,tiktok動画生成プロンプト1️⃣,tiktok動画生成プロンプト1️⃣.md,yes,use-file-stem
notes\MK\chatgpt\pronmpts\TikTok投稿用コンテンツ自動生成プロンプト V4（ASMRクリスタル果物）.md,🎬 TikTok投稿用コンテンツ自動生成プロンプト V4（ASMR / クリスタル果物）,🎬-TikTok投稿用コンテンツ自動生成プロンプト-V4（ASMR-クリスタル果物）.md,no,use-h1-title
notes\MK\chatgpt\pronmpts\★Prompt Create Prompt.md,回答例（TikTokでバズを狙うAI動画プロンプト生成用）,回答例（TikTokでバズを狙うAI動画プロンプト生成用）.md,no,use-h1-title
notes\MK\chatgpt\pronmpts\クリスタル果物切断ASMR動画生成プロンプト.md,🎯 目的,🎯-目的.md,no,use-h1-title
notes\MK\chatgpt\pronmpts\動画生成プロンプト(meta3).md,🎯 あなたの目的：,🎯-あなたの目的：.md,no,use-h1-title
notes\MK\chatgpt\pronmpts\映像生成ツール向けプロンプト.md,🎥 英語プロンプト（映像生成ツール向け）,🎥-英語プロンプト（映像生成ツール向け）.md,no,use-h1-title
notes\MK\chatgpt\pronmpts\深堀りprompt.md,深堀りprompt,深堀りprompt.md,yes,use-file-stem
notes\MK\chatgpt\pronmpts_output\Crystal Fruit ASMR Prompt Collection.md,🍎 Crystal Fruit ASMR Prompt Collection,🍎-Crystal-Fruit-ASMR-Prompt-Collection.md,no,use-h1-title
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts (1).md,Crystal Strawberry,Crystal-Strawberry.md,no,use-h1-title
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts.md,crystal_fruit_prompts,crystal_fruit_prompts.md,yes,use-file-stem
notes\MK\chatgpt\pronmpts_output\crystal_fruit_prompts_v5.md,🎥 英語プロンプト – Crystal Lemon,🎥-英語プロンプト-–-Crystal-Lemon.md,no,use-h1-title
notes\MK\chatgpt\pronmpts_output\Crystal_Video_Prompts_Veo.md,Crystal_Video_Prompts_Veo,Crystal_Video_Prompts_Veo.md,yes,use-file-stem
notes\MK\chatgpt\pronmpts_output\CrystalFruit_ASMR_Prompts_Veo (1).md,🍎 Crystal Fruit ASMR Prompts for Veo,🍎-Crystal-Fruit-ASMR-Prompts-for-Veo.md,no,use-h1-title
notes\MK\chatgpt\pronmpts_output\cyber_crystal_food_prompts 1.md,1. Neon Seaweed Ramen – Spiral Vortex Loop,1.-Neon-Seaweed-Ramen-–-Spiral-Vortex-Loop.md,no,use-h1-title
notes\MK\chatgpt\pronmpts_output\cyber_crystal_food_v2_all_1to10.md,2. Cyber Wasabi Gyoza – Reactor Core Bloom (v2),2.-Cyber-Wasabi-Gyoza-–-Reactor-Core-Bloom-(v2).md,no,use-h1-title
notes\MK\chatgpt\Sora_prompt_output\sora_crystal_fruits_prompts.md,🍇 Sora用クリスタル果物プロンプト集（20種）,🍇-Sora用クリスタル果物プロンプト集（20種）.md,no,use-h1-title
notes\MK\chatgpt\Sora_prompt_output\sora_mechanical_mineral_fruits.md,🔧 Sora用プロンプト集 – 機械果物 & 鉱物果物（6種）,🔧-Sora用プロンプト集-–-機械果物-&-鉱物果物（6種）.md,no,use-h1-title
notes\MK\chatgpt\Template\prompt-eval-template.md,📊 プロンプト評価テンプレート,📊-プロンプト評価テンプレート.md,no,use-h1-title
notes\MK\chatgpt\Template\Sora用映像生成プロンプトテンプレート（英語）.md,🎥 Sora用映像生成プロンプトテンプレート（英語）,🎥-Sora用映像生成プロンプトテンプレート（英語）.md,no,use-h1-title
notes\MK\chatgpt\Template\Veo用映像生成プロンプトテンプレート（英語）.md,🎥 Veo用映像生成プロンプトテンプレート（英語）,🎥-Veo用映像生成プロンプトテンプレート（英語）.md,no,use-h1-title
notes\MK\Clippings\2025年版 生成AI・大規模言語モデルを学ぶための30冊（必須5冊+定番15冊+差をつける10冊）.md,ユーザ系,ユーザ系.md,no,use-h1-title
