file,current_folder,proposed_folder,action,confidence,reasons
notes\MK\2025-07-02.md,,10_research,move,0.00,
notes\MK\2025-08-29.md,,10_research,move,0.00,
notes\MK\AI-idea\DeNAの「AIにオールイン」.md,,20_notes,move,1.00,essayish
notes\MK\AI-idea\Gemini CLI.md,,50_code,move,2.50,"tag:code,essayish"
notes\MK\ASMR\ASMR改良版プロンプト.md,,20_notes,move,1.00,essayish
notes\MK\ASMR\ASMR改良版プロンプト用ハッシュタグ.md,,20_notes,move,1.00,essayish
notes\MK\ASMR\SNSショート動画バズり徹底分析.md,,10_research,move,0.00,
notes\MK\ASMR\tiktok asmrキャプション集.md,,50_code,move,2.50,codeblocks>=2
notes\MK\ASMR\TikTok ASMR動画企画.md,,10_research,move,2.00,"dev-terms,urls>=3"
notes\MK\ASMR\日本国内SNSトレンド分析レポート.md,,10_research,move,2.00,urls>=3
notes\MK\chatgpt\deepresearch\deepresearch向け検索クエリ例.md,,10_research,move,1.00,path:deepresearch
notes\MK\chatgpt\deepresearch\出力レイアウト仕様（Markdown）.md,,20_notes,move,2.50,"sections:notes-like,essayish,path:deepresearch"
notes\MK\chatgpt\deepresearch\採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）.md,,10_research,move,1.00,path:deepresearch
notes\MK\chatgpt\deepresearch\最短版プロンプト（埋め済み・コピペ用）.md,,10_research,move,1.00,path:deepresearch
notes\MK\chatgpt\deepresearch\詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）.md,,10_research,move,1.00,path:deepresearch
notes\MK\chatgpt\ideas\ChatGPT 出力 Obsidian 保存.md,,50_code,move,2.50,"codeblocks>=2,path:ideas"
notes\MK\chatgpt\ideas\ダイエット計画プロンプト_v2.md,,20_notes,move,1.80,"essayish,path:ideas"
notes\MK\chatgpt\pronmpts\tiktok動画生成プロンプト1️⃣.md,,40_prompts,move,1.50,"dev-terms,path:prompts"
notes\MK\chatgpt\pronmpts\TikTok投稿用コンテンツ自動生成プロンプト V4（ASMRクリスタル果物）.md,,40_prompts,move,1.50,"essayish,path:prompts"
notes\MK\chatgpt\pronmpts\★Prompt Create Prompt.md,,40_prompts,move,1.50,path:prompts
notes\MK\chatgpt\pronmpts\クリスタル果物切断ASMR動画生成プロンプト.md,,40_prompts,move,1.50,"essayish,path:prompts"
notes\MK\chatgpt\pronmpts\動画生成プロンプト(meta3).md,,40_prompts,move,1.50,"essayish,path:prompts"
notes\MK\chatgpt\pronmpts\映像生成ツール向けプロンプト.md,,40_prompts,move,1.50,"essayish,path:prompts"
notes\MK\chatgpt\pronmpts\深堀りprompt.md,,40_prompts,move,1.50,path:prompts
