file,added_fields
notes/MK/10_research/2025-06-29.md,title status created updated
notes/MK/10_research/2025-06-30.md,title status created updated
notes/MK/10_research/2025-07-01.md,title status created updated
notes/MK/10_research/2025-07-02.md,title status created updated
notes/MK/10_research/2025-08-29.md,title status created updated
notes/MK/10_research/2025-13-01.md,title status created updated
notes/MK/10_research/2025年版 生成AI・大規模言語モデルを学ぶための30冊（必須5冊+定番15冊+差をつける10冊）.md,status updated
notes/MK/10_research/ChatGPTに悩みを相談し続けて4カ月、「あ、ヤバいかも」と思った話.md,status updated
notes/MK/10_research/config_6-29135137.json.md,title status created updated
notes/MK/10_research/deepresearch向け検索クエリ例.md,title status created updated
notes/MK/10_research/Emojify.md,title status created updated
notes/MK/10_research/Explain like I am 5.md,title status created updated
notes/MK/10_research/FF14総合分析と戦略考察.md,status updated
notes/MK/10_research/Findings from a Pilot Anthropic - OpenAI Alignment Evaluation Exercise.md,status updated
notes/MK/10_research/Findings from a pilot Anthropic–OpenAI alignment evaluation exercise OpenAI Safety Tests.md,status updated
notes/MK/10_research/Fix grammar and spelling.md,title status created updated
notes/MK/10_research/Generate table of contents.md,title status created updated
"notes/MK/10_research/GPT, Gemini, Claude使い分け2025年9月初めバージョン｜erukiti.md",status updated
notes/MK/10_research/kindle unlimited + Obsidian　が読書において最強な話｜tomo@ビジネススキル向上のお手伝い.md,status updated
notes/MK/10_research/Make longer.md,title status created updated
notes/MK/10_research/Make shorter.md,title status created updated
notes/MK/10_research/MOD文化とMODツールの使用について.md,status updated
notes/MK/10_research/Obsidian×Cursorの活用方法：知的生産のシナジーを最大化｜Shin.md,status updated
notes/MK/10_research/Obsidianをワタシはこう使っております。実際の使い方と同期についてのお話。｜おかか容疑者.md,status updated
notes/MK/10_research/Rewrite as tweet thread.md,title status created updated
notes/MK/10_research/Rewrite as tweet.md,title status created updated
notes/MK/10_research/RTA in Japan 2025年夏.md,status updated
notes/MK/10_research/Simplify.md,title status created updated
notes/MK/10_research/SNSショート動画バズり徹底分析.md,title status created updated
notes/MK/10_research/Sora用映像生成プロンプトテンプレート（英語）.md,title status created updated
notes/MK/10_research/Summarize.md,title status created updated
notes/MK/10_research/TikTok ASMR動画企画.md,title status created updated
notes/MK/10_research/Translate to Chinese.md,title status created updated
notes/MK/10_research/Veo用映像生成プロンプトテンプレート（英語）.md,title status created updated
notes/MK/10_research/「進捗どうですか？」が怖くなくなる思考法 - 「作業ログ」から「未来の地図」へ.md,status updated
notes/MK/10_research/【2025年最新】Obsidian × AIでメモが変わる！無料プラグイン「Smart Composer」を徹底解説します！.md,status updated
notes/MK/10_research/【Obsidian×Cursor】AI時代の知的生産術！使い方や活用事例まで徹底解説｜ChatGPT研究所.md,status updated
notes/MK/10_research/【Suno.aiで稼ぐ④】Spotify配信から3ヶ月、ついに〇万円稼げました。｜AI FREAK - 最新のAIツールをご紹介 1.md,status updated
notes/MK/10_research/【必見】改良版まじん式プロンプト！｜まじん.md,status updated
notes/MK/10_research/もう手放せない！Gemini の NotebookLM、Deep Research、Canvas で思考を加速（Google Cloud Next Tokyo '25セッションレポート）.md,status updated
notes/MK/10_research/ランドーズ 池袋東口駅前店 （LANDooZ）のご予約 - 池袋居酒屋  食べログ.md,title status created updated
notes/MK/10_research/個人開発で月20万円を目指すための考え方.md,status updated
notes/MK/10_research/内観写真   昔ばなし 別館 （ムカシバナシ） - 池袋居酒屋  食べログ.md,title status created updated
notes/MK/10_research/地図  立喰い寿司 あきら - 新橋立ち食い寿司  食べログ.md,status updated
notes/MK/10_research/採点ルーブリック（JSON：0–5点、重み付き合計で推奨を決定）.md,title status created updated
notes/MK/10_research/日本国内SNSトレンド分析レポート.md,title status created updated
notes/MK/10_research/最短版プロンプト（埋め済み・コピペ用）.md,title status created updated
notes/MK/10_research/焼鶏 吉川のご予約 - 代々木焼き鳥  食べログ.md,title status created updated
notes/MK/10_research/科学的にわかってきた、運がいい人の正体.md,status updated
notes/MK/10_research/角田裕毅 F1オランダGP展望「精神的にも肉体的にも強くなれた」.md,status updated
notes/MK/10_research/解像度を上げる 🔬.md,status updated
notes/MK/10_research/詳細リサーチ・ブリーフ（YAML：埋め済み・編集可）.md,title status created updated
notes/MK/10_research/調査チェックリスト.md,title status created updated
notes/MK/20_notes/90kg→70kg_減量計画.md,title status created updated
notes/MK/20_notes/ASMR改良版プロンプト.md,title status created updated
notes/MK/20_notes/ASMR改良版プロンプト用ハッシュタグ.md,title status created updated
notes/MK/20_notes/DeNAの「AIにオールイン」.md,title status created updated
notes/MK/20_notes/prompt-eval-template.md,title status updated
notes/MK/20_notes/sora_mechanical_mineral_fruits.md,title status created updated
notes/MK/20_notes/ストレッチ＆有酸素メニュー詳細（90kg→70kg 減量支援）.md,title status created updated
notes/MK/20_notes/ダイエット計画_Kanban_Phase1_2.md.md,title status created updated
notes/MK/20_notes/ダイエット計画プロンプト_v2.md,title status created updated
notes/MK/20_notes/出力レイアウト仕様（Markdown）.md,title status created updated
notes/MK/30_projects/README.md,title status created updated
notes/MK/40_prompts/Crystal Fruit ASMR Prompt Collection.md,title status created updated
notes/MK/40_prompts/crystal_fruit_prompts (1).md,title status created updated
notes/MK/40_prompts/cyber_crystal_food_prompts 1.md,title status created updated
notes/MK/40_prompts/cyber_crystal_food_v2_all_1to10.md,title status created updated
notes/MK/40_prompts/tiktok動画生成プロンプト1️⃣.md,title status created updated
notes/MK/40_prompts/TikTok投稿用コンテンツ自動生成プロンプト V4（ASMRクリスタル果物）.md,title status created updated
notes/MK/40_prompts/★Prompt Create Prompt.md,title status created updated
notes/MK/40_prompts/クリスタル果物切断ASMR動画生成プロンプト.md,title status created updated
notes/MK/40_prompts/動画生成プロンプト(meta3).md,title status created updated
notes/MK/40_prompts/映像生成ツール向けプロンプト.md,title status created updated
notes/MK/40_prompts/深堀りprompt.md,title status created updated
notes/MK/50_code/ChatGPT 出力 Obsidian 保存.md,title status created updated
notes/MK/50_code/Claude Code HooksとGemini CLIで始めるAIパイプライン実行｜松濤Vimmer.md,status updated
notes/MK/50_code/Codex CLIを使いこなすための機能・設定まとめ.md,status updated
notes/MK/50_code/crystal_fruit_prompts.md,title status created updated
notes/MK/50_code/crystal_fruit_prompts_v5.md,title status created updated
notes/MK/50_code/Crystal_Video_Prompts_Veo.md,title status created updated
notes/MK/50_code/CrystalFruit_ASMR_Prompts_Veo (1).md,title status created updated
notes/MK/50_code/Dashboard.md,title tags status created updated
notes/MK/50_code/gemini 2.5 proでスライド生成させる(deep reserarch結果を渡す).md,title status created updated
notes/MK/50_code/Gemini CLI.md,title status created updated
notes/MK/50_code/Generate glossary.md,title status created updated
notes/MK/50_code/o3 MCPでClaude Codeが最強の検索力を手に入れた.md,status updated
notes/MK/50_code/ObsidianとGemini CLIで知識を育てる：第二の脳を構築する実践ガイド.md,status updated
notes/MK/50_code/Remove URLs.md,title status created updated
notes/MK/50_code/sora_crystal_fruits_prompts.md,title status created updated
notes/MK/50_code/tiktok asmrキャプション集.md,title status created updated
notes/MK/50_code/【Obsidianの使い方が変わる】Gemini CLIは、あなたの思考に寄り添う「無料の執事」｜少し明るい高橋くん.md,status updated
notes/MK/50_code/先輩社員がどうやって不具合を解決しているのか 1.md,status updated
notes/MK/50_code/新Codex CLIの使い方.md,status updated
notes/MK/50_code/非エンジニアでもできる！AI駆動PMの可能性　〜 Obsidian × Cursor 〜｜すぅ  AI駆動PM.md,status updated
